1032 0
2075 31324
3065 34013
4034 35576
5060 37636
6066 36094
7035 37173
8073 32493
9077 35221
10057 36013
11057 37269
12064 31223
13107 35045
14082 32437
15070 36272
16115 35313
17086 35366
18117 35451
19122 37614
20089 35669
21105 36372
22096 35207
23084 31442
24137 33521
25107 26157
26127 32446
27152 36086
28131 35689
29133 36884
30107 35512
31147 34968
32118 33319
33158 30905
34149 34249
35165 34000
36130 32820
37178 33258
38161 31889
39163 34563
40158 33301
41181 32489
42164 32906
43201 26394
44205 28037
45217 21950
46192 30295
47193 34160
48208 27399
49197 21079
50174 30600
51167 35202
52230 34059
53207 30845
54211 33839
55198 29253
56220 28155
57231 36388
58205 35854
59205 32724
60256 29695
61223 31776
62201 33944
63214 37047
64243 34899
65254 37001
66231 39135
67232 37584
68253 40304
69217 37930
70234 40502
71253 37649
72256 38847
73251 36213
74259 29117
75235 28331
76272 36003
77244 35924
78263 36762
79277 37676
80240 36886
81265 37274
82240 37419
83302 35810
84270 34744
85300 35855
86268 37069
87276 35636
88314 36455
89319 35834
90290 37230
91283 29267
92295 29548
93341 25686
94329 28189
95396 27475
96368 20623
97322 20483
98308 16958
99375 16532
100296 22702
101314 19066
102298 19886
103317 25580
104318 21768
105365 27118
106340 29309
107319 32237
108326 30357
109366 37606
110348 36834
111339 34109
112339 31728
113371 26219
114344 34141
115459 16085
116442 9362
117360 15459
118424 21856
119386 20226
120374 16668
121370 34756
122424 29672
123364 20941
124427 23730
125420 27519
126448 22552
127399 31264
128377 35843
129386 37961
130379 35379
131403 19453
132450 23379
133385 28918
134430 31902
135422 36875
136390 37389
137421 37060
138449 33891
139420 37732
140447 37257
141417 38002
142445 34486
143460 35242
144461 35708
145427 37925
146447 38833
147435 38268
148466 35833
149447 38431
150463 38606
151485 38614
152463 37979
153479 36503
154502 38312
155482 37277
156452 39251
157491 38764
158503 32084
159492 37516
160517 38289
161487 38668
162476 38471
163506 40126
164480 38166
165534 37986
166487 38505
167517 38630
168488 38751
169510 34856
170530 37645
171503 39303
172531 38976
173543 39448
174507 39199
175509 38757
176514 38753
177557 38705
178549 37651
179517 35680
180550 37942
181523 38931
182565 37852
183529 38238
184555 38519
185538 29505
186547 37256
187590 34489
188622 29717
189572 23607
190543 27547
191612 33377
192617 21766
193547 25215
194551 35503
195604 34201
196582 35156
197616 26989
198624 23448
199578 29340
200611 29420
201634 31102
202615 25552
203604 29748
204637 30364
205650 31828
206599 30342
207641 26115
208654 30903
209632 33542
210638 22466
211659 25961
212662 22244
213676 30005
214668 26907
215672 33700
216630 27115
217789 31965
218784 31763
219715 34919
220640 34982
221682 31554
222652 35205
223702 34975
224649 32757
225645 33766
226705 31300
227678 33706
228657 35276
229683 31808
230673 40397
231707 35958
232704 33097
233687 35041
234702 40015
235705 36774
236708 39554
237724 36263
238723 39099
239709 38478
240741 39524
241759 37442
242742 36627
243707 40495
244727 39903
245748 33891
246715 37418
247725 38103
248734 36192
249771 40904
250782 39720
251747 39640
252736 36115
253781 36469
254739 35672
255751 38348
256747 38479
257786 36399
258765 37123
259795 36979
260769 40162
261798 39507
262807 41222
263796 34233
264793 42342
265779 40001
266780 40761
267840 33603
268812 36897
269791 33543
270789 37091
271846 32782
272814 34701
273791 30526
274802 33545
275850 36520
276824 35299
277812 35990
278958 28218
279840 30990
280845 36274
281867 34746
282854 29887
283843 24042
284830 33618
285975 29169
286871 18438
287858 25842
288904 34434
289876 37336
