1064 0
2006 37543
3008 38915
4112 28835
5049 29493
6158 14714
7212 10944
8131 18047
9156 25734
10197 33474
11185 28180
12144 21169
13127 16290
14144 35325
15166 36845
16139 38306
17142 37130
18149 34849
19172 37898
20146 35141
21148 37294
22157 36395
23185 35342
24210 36778
25153 37243
26166 37503
27204 38102
28165 35878
29171 29110
30193 34102
31234 37602
32173 34848
33181 30217
34207 35629
35228 36421
36182 27393
37208 24875
38240 20357
39191 27223
40233 31802
41217 34913
42189 35874
43246 32406
44194 27099
45276 15249
46248 24538
47221 14137
48433 7429
49261 18033
50236 16560
51246 20890
52214 30962
53213 28818
54244 30050
55260 30262
56219 34957
57261 35691
58223 34388
59230 27985
60253 21328
61273 37201
62229 29645
63230 26332
64261 30865
65269 30705
66320 23155
67318 24932
68240 30024
69244 30526
70279 31117
71289 28580
72281 22002
73291 21208
