38272 0
38837 2776
39840 3404
40873 2420
41873 3470
42876 3362
43877 3239
44877 3355
45879 3296
46880 3386
48885 1683
49885 3487
50892 3522
51891 3461
52891 3476
53892 3195
54895 3291
55900 3603
56902 3405
57904 3297
58906 3264
59908 3331
60909 3300
61912 3454
62917 3407
63920 3195
64921 3181
65923 3159
66927 3070
67929 3433
68930 2903
69931 3066
70934 3170
71953 3155
72955 3100
73959 3527
74964 3359
75970 3137
76975 2886
77976 3354
78978 2920
79979 2811
80982 3474
81984 3071
82986 3324
83991 3055
84994 3129
85997 3570
